Name,Data,Id,Realtime,Utime,Mem(MB),1-1,Intra,Inter,Sil,Clusters >= 5,avg size >= 5,median size >= 5,pct of clusters >= 5,Purity,NMI
MeShClust,15k,0.83,0:05.73,17.6,93.97265625,100%,96.403,39.606,0.933,200,74.965,74,99.502,1,1
MeShClust with Alignment,15k,0.83,11:00.77,2381.7,190.7578125,100%,93.569,39.677,0.880,200,74.965,74,99.502,1,1
MeShClust,15k,0.87,0:04.42,15.1,93.99609375,99.5%,96.400,39.602,0.918,201,74.582,74,99.015,1,1
MeShClust with Alignment,15k,0.87,8:35.88,1905.8,173,99.5%,93.474,39.684,0.873,201,74.582,74,98.529,1,1
MeShClust,15k,0.9,0:04.28,14.7,93.98046875,99.5%,96.413,39.602,0.918,201,74.572,74,99.015,1,1
MeShClust with Alignment,15k,0.9,6:47.68,1526.8,159.7890625,99.5%,93.464,39.653,0.870,201,74.562,74,97.101,1,1
MeShClust,15k,0.93,0:04.15,14.2,93.9453125,99.5%,96.404,39.600,0.918,201,74.592,74,99.505,1,1
MeShClust with Alignment,15k,0.93,6:02.54,1373.4,159.4765625,97.5%,93.654,39.650,0.802,212,69.925,72,60.399,1,0.993
MeShClust,15k,0.96,0:04.09,13.7,94.046875,98.5%,96.352,39.577,0.873,206,72.684,74,93.636,1,0.998
MeShClust with Alignment,15k,0.96,23:08.02,5382.1,305.0234375,64.5%,95.735,39.599,0.902,202,58.183,59,5.919,1,0.905
MeShClust,15k,0.97,0:05.56,15.1,96.609375,99%,96.483,39.576,0.874,205,70.927,71,31.202,1,0.984
MeShClust with Alignment,15k,0.97,40:38.75,9510.7,441.0390625,0%,96.795,39.635,0.940,200,40.245,41,2.812,1,0.821
