Name,Data,Id,Realtime,Utime,Mem(MB),1-1,Intra,Inter,Sil,Clusters >= 5,avg size >= 5,median size >= 5,pct of clusters >= 5,Purity,NMI
CD-HIT,15k,0.83,0:01.94,1.9,41.05859375,100%,92.673,39.643,0.864,200,74.965,74,99.502,1,1
DNACLUST,15k,0.83,0:21.58,78.3,401.48046875,92%,92.941,39.703,0.612,228,63.754,69,37.438,1,0.981
MeShClust,15k,0.83,0:05.73,17.6,93.97265625,100%,96.403,39.606,0.933,200,74.965,74,99.502,1,1
UCLUST,15k,0.83,0:01.48,1.4,10.05078125,90%,92.848,39.541,0.660,233,64.258,69,94.715,1,0.991
CD-HIT,15k,0.87,0:01.91,1.9,41.109375,100%,92.673,39.643,0.864,200,74.965,74,99.502,1,1
DNACLUST,15k,0.87,1:06.79,231.1,401.484375,29%,93.593,39.559,0.480,323,36.576,37,10.720,1,0.893
MeShClust,15k,0.87,0:04.42,15.1,93.99609375,99.5%,96.400,39.602,0.918,201,74.582,74,99.015,1,1
UCLUST,15k,0.87,0:01.69,1.6,10.328125,80.5%,92.908,39.545,0.548,275,54.095,63,80.645,1,0.979
CD-HIT,15k,0.9,0:01.87,1.8,41.171875,100%,92.673,39.643,0.864,200,74.965,74,99.502,1,1
DNACLUST,15k,0.9,1:37.91,328.9,401.484375,0%,94.982,39.631,0.370,423,17.381,14,5.877,1,0.795
MeShClust,15k,0.9,0:04.28,14.7,93.98046875,99.5%,96.413,39.602,0.918,201,74.572,74,99.015,1,1
UCLUST,15k,0.9,0:01.01,0.9,11.3515625,53%,93.148,39.604,0.362,394,36.977,33,62.342,1,0.950
CD-HIT,15k,0.93,0:01.38,1.3,41.16796875,95%,92.575,39.633,0.759,223,66.906,71,82.900,1,0.993
DNACLUST,15k,0.93,1:12.26,229.8,401.46875,0%,96.632,39.737,0.709,262,9.893,8,2.219,1,0.735
MeShClust,15k,0.93,0:04.15,14.2,93.9453125,99.5%,96.404,39.600,0.918,201,74.592,74,99.505,1,1
UCLUST,15k,0.93,0:01.31,1.3,15.48828125,9.5%,93.930,39.601,0.209,639,20.343,14,34.709,1,0.885
CD-HIT,15k,0.96,0:01.41,1.3,55.8671875,4.5%,94.370,39.627,0.282,493,20.744,15,11.251,1,0.843
DNACLUST,15k,0.96,0:28.71,73.4,401.44140625,0%,98.214,44.197,0.889,34,5.765,5,0.237,1,0.713
MeShClust,15k,0.96,0:04.09,13.7,94.046875,98.5%,96.352,39.577,0.873,206,72.684,74,93.636,1,0.998
UCLUST,15k,0.96,0:02.34,2.3,31.90625,0%,95.643,39.633,0.210,650,10.766,8,9.884,1,0.784
